Descrizione Articolo,Lob Associata,Codice Articolo,Nome LOB,Inventario
Endpoint Detection - 150-249 Agents,20001,PAN-ETDM-12M-S3,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 150-249 Agents,20001,PAN-ETDM-12M-S3-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 150-249 Agents,20006,PAN-ETDM-COTR-S3,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 1500-1999 Agents,20001,PAN-ETDM-36M-S9-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 1500-1999 Agents,20001,PAN-ETDM-COTR-S9-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 1500-1999 Agents,20008,PAN-ETDM-12M-S9,NUOVO CERTEGO SERVIZI CUSTOM,Non in inventario
Endpoint Detection - 50-99 Agents,20001,PAN-ETDM-COTR-S1-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 50-99 Agents,20006,PAN-ETDM-COTR-S1,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 500-749 Agents,20001,PAN-ETDM-COTR-S6-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Endpoint Detection - 500-749 Agents,20006,UNM-ETDM-36M-S6,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Enterprise Security for Endpoints and Mail Servers Multi-Lan,6003,EB00198063,TREND MICRO PRIMA VENDITA,Inventario
Enterprise Security for Endpoints and Mail Servers Multi-Lan,6012,EB00198448,RINNOVO SOFTWARE TREND MICRO,Inventario
Enterprise Server - 10 AS,17001,SXWSWESXX00010,SISTEMI SCHNEIDER,Inventario
Enterprise Server - 10 AS,24001,SW-ES-10,BUILDING AUTOMATION,Inventario
Expressway Rich Media Session (1),4008,A-FLEX-EXPWY-RMS,CISCO VIDEOCONFERENZA/BOARD,Non in inventario
Expressway Rich Media Session (1),4015,A-FLEX-EXP-RMS,CISCO COLLABORATION A CANONE,Non in inventario
FACTORY INTEGRATED,3004,BD505A#0D1,CLOUD VARIE HW,Inventario
FACTORY INTEGRATED,3004,P21868-B21#0D1,CLOUD VARIE HW,Non in inventario
FACTORY INTEGRATED,3010,451871-B21/0D1,SERVER HP,Inventario
FACTORY INTEGRATED,3010,628061-B21/0D1,SERVER HP,Inventario
FACTORY INTEGRATED,3010,647907-B21/0D1,SERVER HP,Inventario
FACTORY INTEGRATED,3010,663202-B21/0D1,SERVER HP,Inventario
FACTORY INTEGRATED,3010,AF568A#0D1,SERVER HP,Inventario
FACTORY INTEGRATED,3010,P03178-B21#0D1,SERVER HP,Inventario
FACTORY INTEGRATED,3010,P44712-B21#0D1,SERVER HP,Inventario
FORTIMANAGER 1 YEAR - VM SUPPORT 24X7 FORTICARE CONTRACT (1,6007,FC2-10-M30042480212,FORTINET SECURITY,Non in inventario
FORTIMANAGER 1 YEAR - VM SUPPORT 24X7 FORTICARE CONTRACT (1,6013,FC310M30042480212R,RINNOVO FORTINET SECURITY,Inventario
Factory Integrated,3004,865438-B21#0D1,CLOUD VARIE HW,Non in inventario
Factory Integrated,3004,P00930-B21#0D1,CLOUD VARIE HW,Non in inventario
Factory Integrated,3004,P06035-B21#0D1,CLOUD VARIE HW,Inventario
Factory Integrated,3004,P10094-B21#0D1,CLOUD VARIE HW,Inventario
Factory Integrated,3004,P10115-B21#0D1,CLOUD VARIE HW,Inventario
Factory Integrated,3004,P14604-B21#0D1,CLOUD VARIE HW,Inventario
Factory Integrated,3004,P36924-B21#0D1,CLOUD VARIE HW,Inventario
Factory Integrated,3004,P40496-B21#0D1,CLOUD VARIE HW,Inventario
Factory Integrated,3004,P40498-B21#0D1,CLOUD VARIE HW,Inventario
Factory Integrated,3004,P43322-B21#0D1,CLOUD VARIE HW,Inventario
Factory Integrated,3004,P48895-B21#0D1,CLOUD VARIE HW,Inventario
Factory Integrated,3004,P49612-B21#0D1,CLOUD VARIE HW,Inventario
Factory Integrated,3004,P51181-B21#0D1,CLOUD VARIE HW,Inventario
Factory Integrated,3004,P52416-B21#0D1,CLOUD VARIE HW,Inventario
Factory Integrated,3004,P55439-B21#0D1,CLOUD VARIE HW,Inventario
Factory Integrated,3004,P9D93A#0D1,CLOUD VARIE HW,Non in inventario
Factory Integrated,3010,455883-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,733660-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,804331-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,817709-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,819201-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,819201-K21#0D1,SERVER HP,Inventario
Factory Integrated,3010,830824-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,865414-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,867809-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P01366-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P02377-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P06033-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P06035- B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P08443-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P08449-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P08458-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P10097-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P12965-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P13771-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P14581- B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P14587-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P14589-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P14608-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P22018-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P22020-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P26259- B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P26259-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P26269-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P27095-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P28787-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P36922- B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P36931-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P36937-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P40430-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P40497-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P43328-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P43331-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P46212-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P47789-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P47808-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P49598-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P49603-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P49653-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P51178-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P52351-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,P58335-B21#0D1,SERVER HP,Inventario
Factory Integrated,3010,Q0L14A#0D1,SERVER HP,Inventario
Factory Integrated,3010,R1C65A#0D1,SERVER HP,Inventario
Factory Integrated,3010,R2J62A#0D1,SERVER HP,Inventario
Factory integrated,3004,P00926-B21#0D1,CLOUD VARIE HW,Non in inventario
Factory integrated,3004,P02517-B21#0D1,CLOUD VARIE HW,Non in inventario
Factory integrated,3004,P08440-B21#0D1,CLOUD VARIE HW,Non in inventario
Factory integrated,3004,P26427-B21#0D1,CLOUD VARIE HW,Inventario
Factory integrated,3004,P26435-B21#0D1,CLOUD VARIE HW,Inventario
Factory integrated,3004,P26471-B21#0D1,CLOUD VARIE HW,Inventario
Factory integrated,3004,P26477-B21#0D1,CLOUD VARIE HW,Inventario
Factory integrated,3004,P26479-B21#0D1,CLOUD VARIE HW,Inventario
Factory integrated,3004,P26485-B21#0D1,CLOUD VARIE HW,Inventario
Factory integrated,3004,P48920-B21#0D1,CLOUD VARIE HW,Inventario
Factory integrated,3004,P64336-B21#0D1,CLOUD VARIE HW,Inventario
Factory integrated,3004,P64707-B21#0D1,CLOUD VARIE HW,Inventario
Factory integrated,3004,P65104-B21#0D1,CLOUD VARIE HW,Inventario
Factory integrated,3004,P65106-B21#0D1,CLOUD VARIE HW,Inventario
Factory integrated,3004,P67850-B21#0D1,CLOUD VARIE HW,Inventario
Factory integrated,3004,P9D94A#0D1,CLOUD VARIE HW,Non in inventario
Factory integrated,3010,P48183-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P48813-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P48818-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P48820-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P48830-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P48896-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P48899-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P48904-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P48905-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P48907-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P48908-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P48910-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P48918-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P50450-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P51083-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P51911-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P52152-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P52341-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P52756-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P52786-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P54697-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P54702-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P64706-B21#0D1,SERVER HP,Inventario
Factory integrated,3010,P67080-B21#0D1,SERVER HP,Inventario
FiberX Series - HDMI 4K Fiber Extender Cable - 10m,3004,FX-I350-010,CLOUD VARIE HW,Inventario
FiberX Series - HDMI 4K Fiber Extender Cable - 10m,4009,66FX-I350-010,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario
FiberX USB3 Exten TypeA M/F 10m,4007,66FX-I650-010,INSTALLAZIONE COLLABORATION,Inventario
FiberX USB3 Exten TypeA M/F 10m,4009,66FX-I550-010,AUDIO VIDEO - TELEPRESENCE ROOM,Inventario
Forcepoint TRITON Web Security Gateway Anywhere Software,6009,WSGA-J-CP13-S,FORCEPOINT SECURITY,Inventario
Forcepoint TRITON Web Security Gateway Anywhere Software,6009,WSGA-J-CP36-R,FORCEPOINT SECURITY,Inventario
Forcepoint TRITON Web Security Gateway Anywhere Software,6009,WSGA-K-CP25-S,FORCEPOINT SECURITY,Inventario
Forcepoint TRITON Web Security Gateway Anywhere Software,6016,WSGA-I-CP12-R,RINNOVO FORCEPOINT SECURITY,Inventario
Forcepoint V5000 G4 Extended Warranty - NBD Warranty,6009,V5KG4EHW-0-XX24-X-N,FORCEPOINT SECURITY,Non in inventario
Forcepoint V5000 G4 Extended Warranty - NBD Warranty,6016,V5KG4EHW-0-XX24-X-R-,RINNOVO FORCEPOINT SECURITY,Non in inventario
FortiAuthenticator - VM License 24x7 Comprehensive FortiCare,6007,FC1100ACVM2480212R,FORTINET SECURITY,Inventario
FortiAuthenticator - VM License 24x7 Comprehensive FortiCare,6013,FC1100ACVM2480212,RINNOVO FORTINET SECURITY,Non in inventario
FortiCare Premium Support,6007,FC-10-F108P-247-0212,FORTINET SECURITY,Non in inventario
FortiCare Premium Support,6007,FC10FG4VM2480236,FORTINET SECURITY,Non in inventario
FortiCare Premium Support,6007,FC-10-GT70G-247-0236,FORTINET SECURITY,Inventario
FortiCare Premium Support,6007,FC-10-W248E-247-0236,FORTINET SECURITY,Non in inventario
FortiCare Premium Support,6007,FC-10-W248E-24702DD,FORTINET SECURITY,Non in inventario
FortiCare Premium Support,6007,FC-10-X101A-247-0236,FORTINET SECURITY,Non in inventario
FortiCare Premium Support,6007,FC-10-X511F-247-0212,FORTINET SECURITY,Non in inventario
FortiCare Premium Support,6013,FC-10-0060F-247-0212,RINNOVO FORTINET SECURITY,Non in inventario
"FortiGate Cloud Management, Analysis and 1 Year Log Retention",6007,FC10002051310212,FORTINET SECURITY,Non in inventario
"FortiGate Cloud Management, Analysis and 1 Year Log Retention",6007,FC100040F1310212,FORTINET SECURITY,Non in inventario
"FortiGate Cloud Management, Analysis and 1 Year Log Retention",6007,FC100060F1310212.,FORTINET SECURITY,Non in inventario
"FortiGate Cloud Management, Analysis and 1 Year Log Retention",6007,FC100080F1310236,FORTINET SECURITY,Non in inventario
"FortiGate Cloud Management, Analysis and 1 Year Log Retention",6007,FC1000E801310212,FORTINET SECURITY,Non in inventario
"FortiGate Cloud Management, Analysis and 1 Year Log Retention",6007,FC10F100F1310236,FORTINET SECURITY,Non in inventario
"FortiGate Cloud Management, Analysis and 1 Year Log Retention",6013,FC100060F1310236,RINNOVO FORTINET SECURITY,Non in inventario
"FortiGate Cloud Management, Analysis and 1 Year Log Retention",6013,FC-10-0061E-131-02-1,RINNOVO FORTINET SECURITY,Inventario
FortiGate-VM04V 1 Year 24x7 Comprehensive FortiCare,6009,FC-10-FG4VM-248-0212,FORCEPOINT SECURITY,Non in inventario
FortiGate-VM04V 1 Year 24x7 Comprehensive FortiCare,6013,FC10FG4VM2480212R,RINNOVO FORTINET SECURITY,Non in inventario
G3 - Z. di base mand. front. cl.2 (RAL9003),17001,21ZB176CDZ,SISTEMI SCHNEIDER,Inventario
G3 - Z. di base mand. front. cl.2 (RAL9003),17005,21ZB178CDZ,ALTRO DATA CENTER,Inventario
Gold support (1 Year),2006,W1-SG-BYPS-EXT-8P-CO,APPARATI VARI,Non in inventario
Gold support (1 Year),2012,W1-SPA-CS-ANALY10KAS,APPARATI ALLOT,Inventario
Gold support (1 Year),2012,W1-SPA-CS-DWH100G10T,APPARATI ALLOT,Inventario
HP Care Pack Premium Onsite Support - 3 Anni - Garanzia - 9 x 5 x Il Giorno Successivo - On-site - M,3004,U85DSE,CLOUD VARIE HW,Non in inventario
HP Care Pack Premium Onsite Support - 3 Anni - Garanzia - 9 x 5 x Il Giorno Successivo - On-site - M,3005,U86DVE,CLOUD VARIE SW,Non in inventario
HPE DL360 Gen11 Support,3004,HU4A6A300DJ,CLOUD VARIE HW,Non in inventario
HPE DL360 Gen11 Support,3010,HU4A6A500DJ,SERVER HP,Non in inventario
HPE DL360 Gen11 Support,3010,HU4B2A300DJ,SERVER HP,Non in inventario
HPE DL360 Gen11 Support,3010,HU4B2A400DJ,SERVER HP,Non in inventario
HPE DL38x Gen10 Support,3002,H7J32A3#WAH,SOFTWARE MICROSOFT,Non in inventario
HPE DL38x Gen10 Support,3004,HU4B2A3#WAH,CLOUD VARIE HW,Inventario
HPE Foundation Care 24x7 Service Post Warranty,3004,U2JF6PE,CLOUD VARIE HW,Non in inventario
HPE Foundation Care 24x7 Service Post Warranty,3004,U6RD0PE,CLOUD VARIE HW,Non in inventario
HPE Foundation Care 24x7 Service Post Warranty,3005,H6HC4PE,CLOUD VARIE SW,Non in inventario
HPE Foundation Care 24x7 Service Post Warranty,3005,H6HE4PE,CLOUD VARIE SW,Non in inventario
HPE Learn Credits for Compute IT SVC,3004,H33XSA1,CLOUD VARIE HW,Non in inventario
HPE Learn Credits for Compute IT SVC,3010,H33XSE,SERVER HP,Non in inventario
HPE Proliant DL360 Gen10+ Support,3004,HU4B2A5#ZSA,CLOUD VARIE HW,Non in inventario
HPE Proliant DL360 Gen10+ Support,3010,HU4A6A3#ZSA,SERVER HP,Non in inventario
HPE Proliant DL360 Gen10+ Support,3010,HU4B2A3#ZSA,SERVER HP,Inventario
HPE Rdnt 2m 10A C13-C14 JprCord,3004,AF573A,CLOUD VARIE HW,Inventario
HPE Rdnt 2m 10A C13-C14 JprCord,3010,AF573A#0D1,SERVER HP,Inventario
Harmony Email & Collaboration - Advanced Protect (Email and Applications),6002,CP-HAR-EC-DMARC-T2-Y,CHECKPOINT SECURITY,Non in inventario
Harmony Email & Collaboration - Advanced Protect (Email and Applications),6011,CPHARECADVEMAILRENT2,RINNOVO CHECKPOINT SECURITY,Non in inventario
Harmony Email- Advanced : Secure Office 365 Email and Gmail with Anti-phishing and Anti-malware URL,6002,CPHAREADVEMAILT2Y,CHECKPOINT SECURITY,Inventario
Harmony Email- Advanced : Secure Office 365 Email and Gmail with Anti-phishing and Anti-malware URL,6011,CPHAREADVEMAILT2Y.,RINNOVO CHECKPOINT SECURITY,Non in inventario
Harmony Endpoint Basic- Including Web Protection Attack Investigation Threat Prevention Access,6002,CP-HAR-EPBASICREN1Y,CHECKPOINT SECURITY,Inventario
Harmony Endpoint Basic- Including Web Protection Attack Investigation Threat Prevention Access,6011,CP-HAR-EPBASICREN1Y.,RINNOVO CHECKPOINT SECURITY,Non in inventario
Harmony Mobile per-user single device subscription for 1 year,6002,CP-HAR-MOBILE-DVC-1Y,CHECKPOINT SECURITY,Non in inventario
Harmony Mobile per-user single device subscription for 1 year,6002,CPHARMOBILEDVCREN1Y,CHECKPOINT SECURITY,Inventario
Harmony Mobile per-user single device subscription for 1 year,6011,CPHARMOBILEDVCREN1Y.,RINNOVO CHECKPOINT SECURITY,Non in inventario
INCLUDED: Power Cord - Europe localization,2002,JL259A      ABB,APPARATI CISCO LAN,Inventario
INCLUDED: Power Cord - Europe localization,2005,JL086A      ABB,APPARATI HP,Inventario
INCLUDED: Power Cord - Europe localization,2005,JL087A#ABB,APPARATI HP,Inventario
IOS XE Autonomous boot up mode for Unified image,2003,IOSXE-AUTO-MODE-PF,APPARATI CISCO WAN,Non in inventario
IOS XE Autonomous boot up mode for Unified image,2006,IOSXE-AUTO-MODE,APPARATI VARI,Inventario
IaaS Detection - 50-99 Assets,20001,PAN-IADM-12M-S1,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
IaaS Detection - 50-99 Assets,20001,PAN-IADM-36M-S1-R,CERTEGO SERVIZI CONTINUATIVI,Non in inventario
IaaS Detection - 50-99 Assets,20006,PAN-IADM-36M-S1,NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI,Non in inventario
Included WebEx Storage (1),4008,A-SPK-WXSTG-X,CISCO VIDEOCONFERENZA/BOARD,Inventario
Included WebEx Storage (1),4015,A-SPK-NU-WXSTG-X,CISCO COLLABORATION A CANONE,Non in inventario
Including Sandboxing Web Protection Attack Investigation Threat Prevention Access Control and Threat,6002,CPHAREPADVANCEDREN1Y,CHECKPOINT SECURITY,Inventario
Including Sandboxing Web Protection Attack Investigation Threat Prevention Access Control and Threat,6011,CPHAREPADVANCEDREN1,RINNOVO CHECKPOINT SECURITY,Non in inventario
Intel 4309Y 2.8GHz/105W 8C/12MB DDR4 2667MHz,3009,UCS-CPU-I4309Y,SERVER CISCO,Inventario
Intel 4309Y 2.8GHz/105W 8C/12MB DDR4 2667MHz,3030,HX-CPU-I4309Y,STORAGE IPERCONVERGENZA CISCO,Inventario
Intel 6326 2.9GHz/185W 16C/24MB DDR4 3200MHz,3009,UCS-CPU-I6326,SERVER CISCO,Inventario
Intel 6326 2.9GHz/185W 16C/24MB DDR4 3200MHz,3009,UCSX-CPU-I6326,SERVER CISCO,Inventario
Intel 6326 2.9GHz/185W 16C/24MB DDR4 3200MHz,3030,HX-CPU-I6326,STORAGE IPERCONVERGENZA CISCO,Inventario
Intel 6334 3.6GHz/165W 8C/18MB DDR4 3200MHz,3009,UCSX-CPU-I6334,SERVER CISCO,Inventario
Intel 6334 3.6GHz/165W 8C/18MB DDR4 3200MHz,3030,HX-CPU-I6334,STORAGE IPERCONVERGENZA CISCO,Inventario
MAINTENANCE,3004,MAINTENANCE,CLOUD VARIE HW,Non in inventario
MAINTENANCE,6004,RINNOVO SPLUNK,ALTRO SECURITY,Inventario
MARATHON SOFTWARE MAINTENANCE AGREEMENT 1 YEAR,3004,SMA.,CLOUD VARIE HW,Non in inventario
MARATHON SOFTWARE MAINTENANCE AGREEMENT 1 YEAR,4004,SMA,TELEFONIA SOFTWARE,Inventario
MERAKI MX60 CLOUD MANAGED SECURITY APPLIANCE,2016,MX64-HW,CISCO MERAKI,Inventario
MERAKI MX60 CLOUD MANAGED SECURITY APPLIANCE,6001,MX60-HW,CISCO SECURITY,Inventario
MORS/PIASTRINA TERMINALE X CBD2,1002,CBRCB2/PT,CABLAGGIO ALTERNATIVO,Inventario
MORS/PIASTRINA TERMINALE X CBD2,1003,CB2/PT,TBD******,Inventario
Meetings Toll Dial-In Audio (1),4008,A-AUD-TOLLDIALIN,CISCO VIDEOCONFERENZA/BOARD,Non in inventario
Meetings Toll Dial-In Audio (1),4015,A-FLEX-TOLL-DIALIN,CISCO COLLABORATION A CANONE,Non in inventario
"Meraki MX85 Advanced Security License and Support, 3YR",2016,LIC-MX85-SEC-3Y,CISCO MERAKI,Inventario
"Meraki MX85 Advanced Security License and Support, 3YR",6001,LIC-MX85-SEC-3YR,CISCO SECURITY,Inventario
"Meraki Z3 Enterprise License and Support, 3YR",2002,LIC-Z3-ENT-3Y,APPARATI CISCO LAN,Inventario
"Meraki Z3 Enterprise License and Support, 3YR",2016,LIC-Z3-ENT-3YR,CISCO MERAKI,Inventario
"Metallic Office 365 Backup & Recovery eDiscovery Edition, Prepaid Subscription - 1 Year, Tier A, Mon",3031,MTL-O365ED-USR-A,SOLUZIONE BACKUP ALTRO,Inventario
"Metallic Office 365 Backup & Recovery eDiscovery Edition, Prepaid Subscription - 1 Year, Tier A, Mon",3032,MTL-O365ED-USR-A-R,RINNOVO SOLUZIONE BACKUP ALTRO,Inventario
Microsoft 365 Business Basic,3002,SK103997,SOFTWARE MICROSOFT,Non in inventario
Microsoft 365 Business Basic,3015,CFQ7TTC0LH18:0001.,RINNOVO SOFTWARE MICROSOFT,Non in inventario
Microsoft 365 Business Premium,3002,SK16346,SOFTWARE MICROSOFT,Non in inventario
Microsoft 365 Business Premium,3015,CFQ7TTC0LCHC:0002,RINNOVO SOFTWARE MICROSOFT,Non in inventario
Microsoft 365 E3 (Nonprofit Staff Pricing),3002,F7AD4EAF-F2EF,SOFTWARE MICROSOFT,Non in inventario
Microsoft 365 E3 (Nonprofit Staff Pricing),3015,CFQ7TTC0LFLX:001G,RINNOVO SOFTWARE MICROSOFT,Non in inventario
Microsoft Extended Hardware Service Plan,3004,A9W-00007,CLOUD VARIE HW,Inventario
Microsoft Extended Hardware Service Plan,3005,VP4-00032,CLOUD VARIE SW,Non in inventario
Microsoft Surface Adattatore USB-C To HDMI,2006,‎HFM-00007,APPARATI VARI,Inventario
Microsoft Surface Adattatore USB-C To HDMI,4002,B079TSVVLS,ALTRO MATERIALE,Inventario
Microsoft Teams Essentials (AAD Identity),3002,CFQ7TTC0JN4R:0002:P1,SOFTWARE MICROSOFT,Non in inventario
Microsoft Teams Essentials (AAD Identity),3015,CFQ7TTC0JN4R:0002,RINNOVO SOFTWARE MICROSOFT,Non in inventario
Minimum Quantity =10,2,C9115AXI-MULTI,APPARATI,Inventario
Minimum Quantity =10,2001,C9105AXW-MULTI,APPARATI CISCO WIRELESS,Inventario
Modulo di espansione I/O per Automation server,1011,SXWDI16XX10001,BUILDING AUTOMATION,Inventario
