Descrizione Articolo,lob_nunique,lob_values,lob_code_description
Network Detection - 3500-4999 IPs,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Network Sensor - L,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Network Sensor - VM,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Network Sensor - XL,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Network Tactical Response - L,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Network Tactical Response - S,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Network Tactical Response - XL,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Next Generation Firewall Package for additional 1 year for 3800 Base Appliance,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
Next Generation Threat Prevention and Sandblast for additional 1 year for 3600 Base Appliance,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
Next Generation Threat Prevention and Sandblast for additional 1 year for 6200PLUS Appliance,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
Next Generation Threat Prevention for additional 2 years for 7000 PLUS Appliance,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
"OPT OUT, TPM 2.0, TCG, FIPS140-2, CC EAL4+ Certified",2,3009 | 3030,"3009 - SERVER CISCO
3030 - STORAGE IPERCONVERGENZA CISCO"
Office 365 E3,2,3002 | 3015,"3002 - SOFTWARE MICROSOFT
3015 - RINNOVO SOFTWARE MICROSOFT"
POWER BI PRO,2,3002 | 3015,"3002 - SOFTWARE MICROSOFT
3015 - RINNOVO SOFTWARE MICROSOFT"
PR.MOB.IP44 3PNT 32A 380V CR,2,1003 | 17001,"1003 - TBD******
17001 - SISTEMI SCHNEIDER"
PRODUCT 3RD PARTY HARDWARE OTHER END PANEL 42U 1200MM AISLE DEPTH,2,17001 | 17005,"17001 - SISTEMI SCHNEIDER
17005 - ALTRO DATA CENTER"
PWRSPLY AC/DC for IR829,2,2003 | 2015,"2003 - APPARATI CISCO WAN
2015 - APPARATI CISCO IOT"
PanOptikon Dark Web Scanner Module – 12M – Medium Company (Max 20 keywords),2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Endpoint Threat Detection Module – 12M - 100-149 Agents,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Endpoint Threat Detection Module – 12M - 250-349 Agents,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Endpoint Threat Detection Module – 12M - 350-499 Agents,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Endpoint Threat Detection Module – 12M - 50-99 Agents,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Endpoint Threat Detection Module – 12M - 750-999 Agents,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Endpoint Threat Detection Module – 36M - 100-149 Agents,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Endpoint Threat Detection Module – 36M - 150-249 Agents,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Endpoint Threat Detection Module – 36M - 250-349 Agents,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Endpoint Threat Detection Module – 36M - 50-99 Agents,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Endpoint Threat Detection Module – 36M - 500-749 Agents,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Network Threat Detection Module - 12M - 1000-1499 IP,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Network Threat Detection Module - 12M - 250-349 IP,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Network Threat Detection Module - 12M - 500-749 IP,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Network Threat Detection Module - 12M - 5000-9999 IP,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Network Threat Detection Module - 36M - 1000-1499 IP,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Premium Service - 12M - 3500-4999 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Premium Service - 12M - 5000-9999 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Premium Service - 3500-4999 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Premium Service - 5000-9999 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Premium Service - 9999+ Assets,2,20001 | 20007,"20001 - CERTEGO SERVIZI CONTINUATIVI
20007 - CERTEGO SERVIZI CUSTOM"
PanOptikon SOAR Platform - Standard Service - 12M - 100-149 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 1000-1499 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 150-249 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 1500-1999 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 250-349 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 2500-3499 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 50-99 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 12M - 500-749 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 350-499 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SOAR Platform - Standard Service - 36M - 250-349 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon SaaS Threat Detection Module – 12M - 350-499 Users,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Security Appliance - NS100 – 12M,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Security Appliance - NS100 – 36M,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Security Appliance - NS200 – 36M,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Security Appliance - NSVE Virtual Edition – 12M,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Security Appliance - NSVE Virtual Edition – 36M,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Tactical Response Module – 12M – Medium Appliance,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Tactical Response Module – 12M – Small Appliance,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Tactical Response Module – 36M – Medium Appliance,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Tactical Response Module – 36M – Small Appliance,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Third Party Detection Module - 12M - 100-149 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Threat Intelligence Feeds – 12M – Small Appliance,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Vulnerability Detection Module - External - 12M – 10 IP Addr.,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Vulnerability Detection Module - External - 12M – 50-99 IP Addr.,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Vulnerability Detection Module - Virtual Scanner – 12M,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
PanOptikon Vulnerability Detection Module - Web Application Scanner – 36M - Single Web App,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
"Powersupply - AC/DC, 12V, 6.25A, grey",2,4007 | 4008,"4007 - INSTALLAZIONE COLLABORATION
4008 - CISCO VIDEOCONFERENZA/BOARD"
Pro Pack for Cisco Webex Control Hub (1),2,4008 | 4015,"4008 - CISCO VIDEOCONFERENZA/BOARD
4015 - CISCO COLLABORATION A CANONE"
"PureLink Cavo Audio mjack 3,5mm 2m",2,1002 | 4009,"1002 - CABLAGGIO ALTERNATIVO
4009 - AUDIO VIDEO - TELEPRESENCE ROOM"
RACC.D.20 STOP TUBO GUAINA IP67 IP6,2,1002 | 1003,"1002 - CABLAGGIO ALTERNATIVO
1003 - TBD******"
RACCORDO TUBO SCATOLA STOP IP67 IMQ,2,1002 | 1003,"1002 - CABLAGGIO ALTERNATIVO
1003 - TBD******"
RC530Z EP WH SET ( 2PCS),2,24001 | 24002,"24001 - BUILDING AUTOMATION
24002 - ALTRI IMPIANTI TECNOLOGICI"
Raspberry Pi Camera Module 3,2,24001 | 3004,"24001 - BUILDING AUTOMATION
3004 - CLOUD VARIE HW"
Reversible CMA for C220 M6 ball bearing rail kit,2,3009 | 3030,"3009 - SERVER CISCO
3030 - STORAGE IPERCONVERGENZA CISCO"
Ricetrasmettitore con base da tavolo per sistema Microflex Wireless. Compatibile con microfoni Micro,2,4007 | 4009,"4007 - INSTALLAZIONE COLLABORATION
4009 - AUDIO VIDEO - TELEPRESENCE ROOM"
S/N CHASSIS : Ordine EI:,2,2006 | 3010,"2006 - APPARATI VARI
3010 - SERVER HP"
S/n Chassis - Ordine EI,2,1002 | 2002,"1002 - CABLAGGIO ALTERNATIVO
2002 - APPARATI CISCO LAN"
SCARICO CON GRU su piano strada fianco camion . Previa accessibilità dei mezzi - ESCLUSO posizioname,2,17005 | 99010,"17005 - ALTRO DATA CENTER
99010 - SPESE TRASPORTO FORNITORI"
SCATOLA INC. 4M P/LEGGERE AZZURRO,2,1002 | 1003,"1002 - CABLAGGIO ALTERNATIVO
1003 - TBD******"
SINGLE PACK OPTION,2,2001 | 2002,"2001 - APPARATI CISCO WIRELESS
2002 - APPARATI CISCO LAN"
SIRENA DA ESTERNO Abs Bianco/Blu,2,2014 | 24001,"2014 - CONTROLLO ACCESSI
24001 - BUILDING AUTOMATION"
"SL110 Series Modular Jack, RJ45, category 6, T568A/T568B, unshielded, without dust cover, alpine whi",2,1001 | 1002,"1001 - CABLAGGI COMMSCOPE
1002 - CABLAGGIO ALTERNATIVO"
SPCK620.100 Tastiera Comfort,2,1016 | 2014,"1016 - CONTROLLI ACCESSI
2014 - CONTROLLO ACCESSI"
SRST Endpoints (1),2,4015 | 4016,"4015 - CISCO COLLABORATION A CANONE
4016 - RINNOVO CISCO COLLABORATION A CANONE"
SUPPORTO 3 MODULI CON VITI,2,1002 | 1003,"1002 - CABLAGGIO ALTERNATIVO
1003 - TBD******"
SaaS Detection - 1500-1999 Users,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
SaaS Detection - 500-749 Users,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Service Pack 3 Years Parts and Software Support Extended Warranty for 1 NetBotz 2-Series,2,17 | 17007,"17 - DATACENTER INFRASTRUCTURE
17007 - INSTALLAZIONE DATA CENTER"
Sirena Mini Doge bianco,2,2014 | 24001,"2014 - CONTROLLO ACCESSI
24001 - BUILDING AUTOMATION"
Small Secure Network Server for ISE Applications,2,3009 | 6001,"3009 - SERVER CISCO
6001 - CISCO SECURITY"
SmartEvent SmartReporter and Compliance blades for 5 gateways (Smart-1 & open server) 1  year subsc,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
SmartEvent and SmartReporter blade for 25 gateways (Smart-1 & open server) 1 year subscription,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
"SmartMixer® Digitale con 4 canali microfono, 2 mic/line, 1 stereo",2,4007 | 4009,"4007 - INSTALLAZIONE COLLABORATION
4009 - AUDIO VIDEO - TELEPRESENCE ROOM"
SmartX IP Controller da 16 I/O per EcoStruxure Building progettato per il controllo ambiente.,2,17001 | 24001,"17001 - SISTEMI SCHNEIDER
24001 - BUILDING AUTOMATION"
"Sonda di temperatura da esterno installazione a muro, NTC 1",2,1011 | 24001,"1011 - BUILDING AUTOMATION
24001 - BUILDING AUTOMATION"
"Standard Bundle (24x7 FortiCare plus AV, FortiWeb Security Service, and IP Reputation)",2,6007 | 6013,"6007 - FORTINET SECURITY
6013 - RINNOVO FORTINET SECURITY"
Standard Collaborative Enterprise Support for Hardware,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
Standard Pro Collaborative Enterprise Support,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
Support,2,6009 | 6016,"6009 - FORCEPOINT SECURITY
6016 - RINNOVO FORCEPOINT SECURITY"
Support & Maintenance Subscription Notification of software,2,3031 | 3032,"3031 - SOLUZIONE BACKUP ALTRO
3032 - RINNOVO SOLUZIONE BACKUP ALTRO"
Support for Appliance Gateways,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
SupportEdge Advisor,2,3014 | 3022,"3014 - SOLUZIONE NETAPP
3022 - RINNOVO SOLUZIONE NETAPP"
T1 - Telaio di base regolabile,2,17001 | 17005,"17001 - SISTEMI SCHNEIDER
17005 - ALTRO DATA CENTER"
TERMORESTRINGENTE X GIUNTI FO L=45 mm (in conf. da 100),2,1002 | 1006,"1002 - CABLAGGIO ALTERNATIVO
1006 - ARMADI"
TESTER DI RETE,2,1002 | 1003,"1002 - CABLAGGIO ALTERNATIVO
1003 - TBD******"
"TPM 2.0, TCG, FIPS140-2, CC EAL4+ Certified, for M6 servers",2,3009 | 3030,"3009 - SERVER CISCO
3030 - STORAGE IPERCONVERGENZA CISCO"
TUBO CORRUGATO PIEGHEVOLE IMQ 3321,2,1002 | 1003,"1002 - CABLAGGIO ALTERNATIVO
1003 - TBD******"
TUBO RIGIDO GRIGIO IMQ 3321,2,1002 | 1003,"1002 - CABLAGGIO ALTERNATIVO
1003 - TBD******"
"TeraSPEED® LC to Unconnectorized, Fiber Pigtail, 0.9 mm Tight Buffer",2,1001 | 1002,"1001 - CABLAGGI COMMSCOPE
1002 - CABLAGGIO ALTERNATIVO"
Third Party Detection - 1500-1999 Assets,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Threat Intelligence IOC Feeds - S,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Threat Intelligence IOC Feeds – L,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
"Trend Vision One - Data Pipeline (Outbound), Renew, Normal, 1-1000 License,04 months",2,6003 | 6012,"6003 - TREND MICRO PRIMA VENDITA
6012 - RINNOVO SOFTWARE TREND MICRO"
UCS Fabric Interconnect 6454,2,3009 | 3030,"3009 - SERVER CISCO
3030 - STORAGE IPERCONVERGENZA CISCO"
UCS Manager v4.2 and Intersight Managed Mode v4.2,2,3009 | 3030,"3009 - SERVER CISCO
3030 - STORAGE IPERCONVERGENZA CISCO"
"UHD, 350 nits, Tizen 4.0, Soc6",2,4008 | 4009,"4008 - CISCO VIDEOCONFERENZA/BOARD
4009 - AUDIO VIDEO - TELEPRESENCE ROOM"
"ULL TeraSpeed LC Uniboot to LC Uniboot, Fiber Patch Cord, 2.0 mm Duplex, LSZH/Riser",2,1001 | 1002,"1001 - CABLAGGI COMMSCOPE
1002 - CABLAGGIO ALTERNATIVO"
UNIVERSAL - NO PAYLOAD ENCRYPTION,2,2002 | 2006,"2002 - APPARATI CISCO LAN
2006 - APPARATI VARI"
"Unified Threat Protection (UTP) (IPS, Advanced Malware Protection, Application Control, URL, DNS & V",2,6007 | 6011,"6007 - FORTINET SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
"Unified Threat Protection (UTP) (IPS, Advanced Malware Protection, Application Control, Web & Video",2,6007 | 6013,"6007 - FORTINET SECURITY
6013 - RINNOVO FORTINET SECURITY"
Upgrade FortiCare Premium to Elite (Require FortiCare Premium),2,6002 | 6007,"6002 - CHECKPOINT SECURITY
6007 - FORTINET SECURITY"
VENTOLA,2,1003 | 17005,"1003 - TBD******
17005 - ALTRO DATA CENTER"
VISION Professional installation-grade USB 2.0 cable,2,3004 | 4009,"3004 - CLOUD VARIE HW
4009 - AUDIO VIDEO - TELEPRESENCE ROOM"
VMware ESXi Hyper-V KVM Renewal. Integrating Check Point's Next Generation Threat Prevention subscri,2,6002 | 6011,"6002 - CHECKPOINT SECURITY
6011 - RINNOVO CHECKPOINT SECURITY"
Veeam Data Platform Foundation Universal Subscription License. Includes Enterprise Plus Edition feat,2,3031 | 3032,"3031 - SOLUZIONE BACKUP ALTRO
3032 - RINNOVO SOLUZIONE BACKUP ALTRO"
Vulnerability Detection - Public IPs – 20 IP Addr.,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Vulnerability Detection - Public IPs – 30 IP Addr.,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Vulnerability Detection - Web Apps,2,20001 | 20006,"20001 - CERTEGO SERVIZI CONTINUATIVI
20006 - NUOVO CLIENTE CERTEGO SERVIZI CONTINUATIVI"
Wall Mount Kit for Codec EQ,2,2002 | 4008,"2002 - APPARATI CISCO LAN
4008 - CISCO VIDEOCONFERENZA/BOARD"
Webex Calling Entitlement,2,4008 | 4015,"4008 - CISCO VIDEOCONFERENZA/BOARD
4015 - CISCO COLLABORATION A CANONE"
"lteom Perform Pro - 1Gbps GlobalElastic License including 8 VAs/vADCs, 1 year subscription.",2,6002 | 6028,"6002 - CHECKPOINT SECURITY
6028 - RINNOVO RADWARE SECURITY"
